source,target,relation
The Outlander Who Caught the Wind,Prologue,isActOf
The Outlander Who Caught the Wind,Archon Quests,isActOf
The Outlander Who Caught the Wind,tutorial level,isAlsoKnownAs
The Outlander Who Caught the Wind,main characters,introduces
unknown entity,Traveler's sibling,seals
unknown entity,Traveler,seals
unknown entity,Traveler and sibling in Teyvat,puts
Traveler,Paimon,fishes
Paimon,travel companion,becomes
Paimon,guide,becomes
Paimon,contact The Seven,suggests
Traveler,Anemo Statue of The Seven,touches
Traveler,green dragon,spots
Traveler and Paimon,green dragon,pursue
stranger,green dragon,calms
Traveler,dragon,alerts
stranger,crimson teardrop crystal,leaves
Traveler,crimson teardrop crystal,takes
Amber,Outrider of the Knights of Favonius,is
Amber,Traveler and Paimon to Mondstadt,escorts
Traveler and Paimon,Amber,assist
Amber,Wind Glider,gifts
Stormterror,region,rampages
Stormterror,wind storms,unleashes
stranger,Traveler,aids
Traveler,Stormterror,drives off
Kaeya,Cavalry Captain,is
Jean,Acting Grandmaster,is
Lisa,Knights' Librarian,is
The Outlander Who Caught the Wind,16 characters,has
The Outlander Who Caught the Wind,3 achievements,has
