id,label
The Outlander Who Caught the Wind,Entity
Mondstadt,Entity
Archon Quest,Entity
Prologue,Entity
I,Entity
N/A,Entity
For a Tomorrow Without Tears,Entity
Wanderer's Trail,Entity
100,Entity
Paimon,Entity
Amber,Entity
Kaeya,Entity
Jean,Entity
Lisa,Entity
16,Entity
3,Entity
Song of the Dragon and Freedom,Entity
10,Entity
Traveler,Entity
Masked Woman,Entity
Kill the dragon,Entity
Stormterror,Entity
Dvalin,Entity
Four Winds,Entity
Fatui Diplomat,Entity
Gem,Entity
Harmful Energy,Entity
Honorary Knight,Entity
Venti,Entity
Song of Stormterror,Entity
Purified,Entity
Meet at Windrise,Entity
Eye of the Storm,Entity
Degradation,Entity
Abyss Order,Entity
Dvalin's Degradation,Entity
Barbatos,Entity
Anemo Archon,Entity
Gotelinde,Entity
Papers,Entity
Holy Lyre der Himmel,Entity
Fatui Electro Cicin Mage,Entity
Lyre,Entity
Diluc,Entity
Contacts,Entity
Signora,Entity
Teardrop Crystals,Entity
Party,Entity
Starsnatch Cliff,Entity
Abyss Mage,Entity
Adventure Rank (AR),Entity
player account progression system,Entity
Genshin Impact,Entity
Players,Entity
World Level (WL),Entity
World Level (WL) ascension,Entity
automatic,Entity
Ascension Quest,Entity
Maximum Adventure Rank,Entity
60,Entity
Maximum World Level,Entity
8,Entity
Adventure Rank increase,Entity
rewards,Entity
Rewards,Entity
Adventurers' Guild,Entity
Ascension Quests,Entity
Adventure Rank,Entity
Adventure EXP,Entity
Quests,Entity
Chests,Entity
Adventurer Handbook,Entity
spending Original Resin,Entity
Adventure EXP after AR 60,Entity
Mora,Entity
Mora conversion rate after AR 60,Entity
1:10,Entity
Uncompleted Ascension Quest,Entity
accumulation of Adventure EXP,Entity
Accumulated Adventure EXP,Entity
Ascension Quest completion,Entity
World Level increase,Entity
difficulty of Enemies,Entity
rewards from Enemies,Entity
difficulty of Normal Bosses,Entity
rewards from Normal Bosses,Entity
rewards from Ley Line Outcrops,Entity
Andrius,Entity
World Level,Entity
Co-op Mode,Entity
equal or higher World Level than host,Entity
World Level decrease,Entity
World Level 3,Entity
level of Ley Line Blossoms,Entity
level of opponents,Entity
rewards from opponents,Entity
World Level adjustment,Entity
once every 24 hours,Entity
various systems and functionality,Entity
increasing maximum level of Characters,Entity
increasing maximum level of Weapons,Entity
new Game Systems,Entity
Character Ascension Phases,Entity
Weapon Ascension Phases,Entity
Maximum Adventure Rank for quests,Entity
quest type,Entity
Adventurers' Guild Rewards,Entity
Katheryne,Entity
Archon Quests,Entity
The Seven,Entity
his people's help,Entity
Hilichurls,Entity
single leader,Entity
ancient ruins,Entity
